"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
,,,,"Total:227,91",,"Total:386,14",
"SAPER  (Victoria Eugenia Sanchez Campos)","Aceite Body slim y detox ""Birch & Juniperus"" - Saper - 100ml","1,00","12,95","12,95","22,70","22,70",
"SAPER  (Victoria Eugenia Sanchez Campos)","Aceite hidratante de argan,incienso y mandarina-SAPER-100 ml","1,00","11,25","11,25","22,50","22,50",
"SAPER  (Victoria Eugenia Sanchez Campos)","Balsamo Lip balm de calendula - Saper - 5ml","1,00","6,00","6,00","10,50","10,50",
"SAPER  (Victoria Eugenia Sanchez Campos)","Crema corporal Skin Repair Calendula y Naranja Dulce-Saper-200 ml","2,00","16,45","32,90","26,00","52,00",
"SAPER  (Victoria Eugenia Sanchez Campos)","Crema Nutri skin frankincience y palmarose - Saper -  50ml","2,00","18,95","37,90","31,00","62,00",
"SAPER  (Victoria Eugenia Sanchez Campos)","Jabon facial de argan - Saper - 115gr","4,00","4,90","19,60","8,60","34,40",
"SAPER  (Victoria Eugenia Sanchez Campos)","Serum perfect balance skin Jojoba y cedrus - Saper - 30ml","1,00","15,25","15,25","27,00","27,00",
"SAPER  (Victoria Eugenia Sanchez Campos)","Serum Piel Radiante-SAPER-30 ml","3,00","16,45","49,35","24,50","73,50",
"SAPER  (Victoria Eugenia Sanchez Campos)","Serum Regenerador de Rosa Mosqueta-SAPER-30 mL","1,00","12,95","12,95","22,70","22,70",
,,,,"Total:198,15",,"Total:327,30",
"SOL NATURAL. VIPASANA BIOSL","Bebida de almendras sin azucares -Monsoy- 1L","37,00","1,53","56,61","2,45","90,19",
"SOL NATURAL. VIPASANA BIOSL","Bebida de Arroz Ecologica - Monsoy - 1 litro","39,00","1,20","46,80","2,45","92,80",
"SOL NATURAL. VIPASANA BIOSL","Bebida de Arroz Integral Ecologica - Monsoy - 1 litro","22,00","1,16","25,52","2,48","48,85",
"SOL NATURAL. VIPASANA BIOSL","Bebida de arroz y coco sin azucares -Monsoy- 1L","11,00","1,53","16,83","2,45","26,95",
"SOL NATURAL. VIPASANA BIOSL","Bebida de Avellana y Arroz-Monsoy-1 litro","78,00","1,71","133,38","2,80","218,20",
"SOL NATURAL. VIPASANA BIOSL","Bebida de Avena Calcio Ecologica - Monsoy - 1 litro","87,00","1,17","101,79","2,45","198,51",
"SOL NATURAL. VIPASANA BIOSL","Horchata Chufa Bio - 1L- Monsoy","3,00","1,86","5,58","3,00","8,58",
,,,,"Total:386,51",,"Total:684,08",
