"Products list"
"ref","description","Base imp.","IVA","Total",
"AYVCUCA0001","Vinagre de sidra- Yuca's - 50 cl","2.64","10.00","2.90",
"AYVCUCA0002","Vinagre de vino- Yuca's- 50cl DESCATALOGADO","2.16","10.00","2.37",
"AYVCUCA0003","Vinagre balsamico- Yuca's - 50 cl.","3.55","10.00","3.90",
"AYVCUCA0004","Vinagre balsamico yuca- 250 ml","2.15","10.00","2.36",
"AYVESPA0001","Aceite NO ECOLOGICO Huertoliva-Espanica","23.64","10.00","26.00",
"AYVGUAD0001","Aceite de Oliva Virgen Extra - El Guadalhorce Ecologico - 5 litros (Pet)","38.09","10.00","41.90",
"AYVGUAD0002","Aceite de Oliva Virgen Extra - El Guadalhorce Ecologico - 3 litros (lata)","25.59","10.00","28.15",
"AYVGUAD0003","Aceite de Oliva Virgen Extra - El Guadalhorce Ecologico - 5 litros (Lata)","40.91","10.00","45.00",
"AYVGUAD0004","Aceite de Oliva Virgen Extra - El Guadalhorce Ecologico - 1 litros (Lata)","9.55","10.00","10.50",
"AYVGUAD0005","Aceite de Oliva Virgen Extra - El Guadalhorce Ecologico - 1 litros (Cristal)","9.55","10.00","10.50",
"AYVGUAD0006","Aceite de Oliva Virgen Extra - El Guadalhorce Ecologico - 2,5 litros (Lata)","16.59","10.00","18.25",
"AYVHOR0001","Aceite Virgen de Coco - Horno de lena - 300gr","6.14","10.00","6.75",
"AYVLAB0013","Aceite Oliva Virgen SDO-Labranza Toledana -PET 5 L","24.36","10.00","26.80",
"AYVLAB0014","Garrafa 5 litros Aceite Oliva Virgen-Labranza Toledana","30.32","10.00","33.35",
"AYVLABR0005","Aceite Oliva Virgen Extra -Labranza Toledana- 100 ml","0.91","10.00","1.00",
"AYVLABR0006","Lata 5l - Aceite de oliva virgen extra- Labranza Toledana","36.91","10.00","40.60",
"AYVLABR0007","Garrafa 5 litros Aceite de Oliva Virgen Extra- Labranza Toledana","34.27","10.00","37.70",
"AYVLABR0008","Aceite de Oliva Virgen Extra (turbio)- Labranza Toledana - 5 litros (Pet)","22.06","10.00","24.26",
"AYVLABR0009","Lata 2,5 litros - Aceite de Oliva Virgen Extra - Labranza Toledana","19.77","10.00","21.75",
"AYVLABR0010","OFERTA- Aceite Labranza Toledana - Lata 5 litros y regalo botella 500 ml","33.64","10.00","37.00",
"AYVLABR0011","Lata 750 ml - Aceite de oliva virgen extra - Labranza Toledana -","5.73","10.00","6.30",
"AYVLABR0012","Botellita cristal 500 ml - Aceite de Oliva -LabranzaToledana- Virgen Extra","7.18","10.00","7.90",
"AYVLACU0005","Aceite de oliva virgen extra-La Cueva del Nino- Lata 5 litros","28.33","10.00","31.16",
