"Productos por proveedor"
"Proveedor","descripcion","cantidad","Precio coste","Total coste","pvp","total pvp",
"PAMIES VITAE (Pamies Horticoles SL)","Mesclum Multisabor-bolsa 400 gr- Pamies Vitae","45,00","3,50","157,50","5,95","265,66",
"PAMIES VITAE (Pamies Horticoles SL)","Orivita – mezcla de hierbas INFECCION ORINA – Pamies vitae- 120gr","2,00","5,00","10,00","7,50","15,00",
"PAMIES VITAE (Pamies Horticoles SL)","Stevia comprimidos - Pamies Vitae-100 unds","2,00","4,70","9,40","6,80","13,60",
"PAMIES VITAE (Pamies Horticoles SL)","Stevia, planta seca - Pamies Vitae- sobre 120 gramos","1,00","4,00","4,00","6,00","6,00",
"PAMIES VITAE (Pamies Horticoles SL)","Tomillo-Planta seca-Pamies vitae-120 gr","1,00","4,00","4,00","6,40","6,40",
,,,,"Total:296,48",,"Total:451,16",
"Panaderia Rincon del Segura","Agua de mar- Rincon del Segura- Botella de 1,5 Litros","2,00","1,91","3,82","2,95","5,90",
"Panaderia Rincon del Segura","Agua de mar- Rincon del Segura- Garrafa de 5 Litros","4,00","5,90","23,60","9,96","40,72",
"Panaderia Rincon del Segura","Galletas algarroba - Rincon del Segura- 300gr","19,00","1,93","36,67","2,85","54,15",
"Panaderia Rincon del Segura","Galletas crujientes con Pipas,linaza y sesamo - Rincon del Segura- 200gr","11,00","2,14","23,54","3,90","43,10",
"Panaderia Rincon del Segura","Galletas crujientes con Sesamo - Rincon del Segura- 200gr","8,00","2,14","17,12","3,90","31,20",
"Panaderia Rincon del Segura","Galletas multicereales - Rincon del Segura- 300gr","18,00","2,22","39,96","3,34","60,12",
"Panaderia Rincon del Segura","Harina blanca de trigo con germen - Rincon del Segura- 1kg","12,00","1,20","14,40","1,93","23,53",
"Panaderia Rincon del Segura","Harina de algarroba- Rincon Segura- 500 gr","3,74","1,35","5,04","2,55","9,52",
"Panaderia Rincon del Segura","Harina Integral de Garbanzo SIN GLUTEN Rincon del segura 800gr","1,00","2,57","2,57","5,20","5,20",
"Panaderia Rincon del Segura","Harina integral de maiz - Rincon del segura - 1 kg","1,00","1,65","1,65","3,20","3,20",
"Panaderia Rincon del Segura","Harina integral de trigo - Rincon del Segura- 1kg","30,89","0,96","29,70","1,77","55,81",
